id;nome;email;cpf;telefone;ativo
1;phew;MariaEduarda.Braga@gmail.com;frivolous questionably;ah;true
2;specialty although exercise;Sophia79@live.com;beast;sturdy;true
3;tractor confine;Eloa_Moraes49@gmail.com;terrific meh;science the alongside;false
4;whenever crossly;Alessandra78@gmail.com;surprised;what;true
5;soda coalition following;Lorenzo_Barros@hotmail.com;woot yuck;tip now;false
6;inasmuch by;Sara.Costa@yahoo.com;likewise vacation pounce;worst when dimpled;true
7;cot;Matheus.Franco81@hotmail.com;presentation digitise before;cultured;false
8;clerk anti;MariaEduarda60@live.com;valiantly unless;blackfish pish;false
9;not;Sara94@live.com;cool nonstop drat;wee bashfully;false
10;because;Janaina_Batista@hotmail.com;striped pushy;ack questioningly neat;false
